,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,year,quarter,month,day,weekday,hour,minute,second,Month,Lat,Long,vx2,vy2,vz2,vel2
125,2019-09-13 02:02:04,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,42000000000.0,0.14,2019-09-13 00:00:00,2019,3,9,13,4,2,2,4,September,-18.6,126.9,27.040000000000003,65.61,90.25,182.25
126,2019-09-12 12:49:48,54.5N,9.2E,42.0,18.5,-18.1,-0.4,3.7,169000000000.0,0.48,2019-09-12 00:00:00,2019,3,9,12,3,12,49,48,September,54.5,9.2,327.61000000000007,0.16000000000000003,13.690000000000001,342.25
127,2019-09-12 02:34:58,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,59000000000.0,0.19,2019-09-12 00:00:00,2019,3,9,12,3,2,34,58,September,24.9,-47.8,136.89,136.89,21.159999999999997,295.84
128,2019-08-24 12:02:59,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,40000000000.0,0.13,2019-08-24 00:00:00,2019,3,8,24,5,12,2,59,August,21.9,-130.4,123.21,27.040000000000003,29.160000000000004,179.56
129,2019-08-22 21:47:29,24.4S,92.9W,30.2,,,,,20000000000.0,0.073,2019-08-22 00:00:00,2019,3,8,22,3,21,47,29,August,-24.4,-92.9,,,,
130,2019-08-16 20:36:05,38.9N,7.0E,36.0,14.9,-3.9,4.0,-13.8,25000000000.0,0.089,2019-08-16 00:00:00,2019,3,8,16,4,20,36,5,August,38.9,7.0,15.209999999999999,16.0,190.44000000000003,222.01000000000002
131,2019-07-23 20:42:58,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,255000000000.0,0.69,2019-07-23 00:00:00,2019,3,7,23,1,20,42,58,July,44.6,-147.6,2.25,228.01,30.25,259.21000000000004
132,2019-06-30 16:52:58,21.2N,129.5W,59.0,42.3,25.2,31.2,-13.3,32000000000.0,0.11,2019-06-30 00:00:00,2019,2,6,30,6,16,52,58,June,21.2,-129.5,635.04,973.4399999999999,176.89000000000001,1789.2899999999997
133,2019-06-30 08:11:29,2.5S,168.7E,,,,,,21000000000.0,0.076,2019-06-30 00:00:00,2019,2,6,30,6,8,11,29,June,-2.5,168.7,,,,
134,2019-06-22 21:25:48,14.9N,66.2W,25.0,14.9,-13.4,6.0,2.5,2947000000000.0,6.0,2019-06-22 00:00:00,2019,2,6,22,5,21,25,48,June,14.9,-66.2,179.56,36.0,6.25,222.01000000000002
135,2019-06-20 06:07:32,7.3N,67.6W,37.0,,,,,28000000000.0,0.098,2019-06-20 00:00:00,2019,2,6,20,3,6,7,32,June,7.3,-67.6,,,,
136,2019-05-26 10:07:55,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,42000000000.0,0.14,2019-05-26 00:00:00,2019,2,5,26,6,10,7,55,May,56.6,-25.3,14.44,33.64,259.21000000000004,306.25
137,2019-05-25 06:44:04,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,49000000000.0,0.16,2019-05-25 00:00:00,2019,2,5,25,5,6,44,4,May,-19.2,89.4,0.04000000000000001,246.48999999999998,4.41,249.64000000000001
138,2019-05-22 15:16:49,10.8N,37.3W,32.6,,,,,95000000000.0,0.29,2019-05-22 00:00:00,2019,2,5,22,2,15,16,49,May,10.8,-37.3,,,,
139,2019-05-21 13:21:35,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,656000000000.0,1.6,2019-05-21 00:00:00,2019,2,5,21,1,13,21,35,May,-38.8,137.5,19.360000000000003,72.25,40.96000000000001,132.25
140,2019-05-19 14:47:03,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,33000000000.0,0.11,2019-05-19 00:00:00,2019,2,5,19,6,14,47,3,May,-23.6,132.8,53.29,148.83999999999997,28.09,231.04
141,2019-05-12 22:41:48,6.2N,57.1W,,,,,,21000000000.0,0.076,2019-05-12 00:00:00,2019,2,5,12,6,22,41,48,May,6.2,-57.1,,,,
142,2019-05-04 15:35:46,28.4N,88.3W,26.5,,,,,22000000000.0,0.079,2019-05-04 00:00:00,2019,2,5,4,5,15,35,46,May,28.4,-88.3,,,,
143,2019-04-22 21:42:11,48.8S,67.8E,33.3,11.4,3.4,-4.2,10.0,124000000000.0,0.37,2019-04-22 00:00:00,2019,2,4,22,0,21,42,11,April,-48.8,67.8,11.559999999999999,17.64,100.0,129.96
144,2019-04-14 17:54:33,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,29000000000.0,0.1,2019-04-14 00:00:00,2019,2,4,14,6,17,54,33,April,18.3,-74.6,6.25,34.81,213.16,252.81
145,2019-04-06 11:59:09,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,70000000000.0,0.22,2019-04-06 00:00:00,2019,2,4,6,5,11,59,9,April,56.5,94.9,38.440000000000005,123.21,166.41,327.61000000000007
146,2019-04-04 22:19:01,35.3N,93.9W,,,,,,28000000000.0,0.098,2019-04-04 00:00:00,2019,2,4,4,3,22,19,1,April,35.3,-93.9,,,,
147,2019-03-27 12:50:34,41.8S,7.4W,,,,,,22000000000.0,0.079,2019-03-27 00:00:00,2019,1,3,27,2,12,50,34,March,-41.8,-7.4,,,,
148,2019-03-19 02:06:39,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,20000000000.0,0.073,2019-03-19 00:00:00,2019,1,3,19,1,2,6,39,March,-24.0,140.3,104.03999999999999,0.16000000000000003,158.76,262.44
149,2019-03-15 12:26:56,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,46000000000.0,0.15,2019-03-15 00:00:00,2019,1,3,15,4,12,26,56,March,63.7,95.7,29.160000000000004,174.23999999999998,2.8899999999999997,207.36
150,2019-02-18 10:00:43,15.5S,25.3E,26.0,20.8,-16.6,-12.6,0.6,1958000000000.0,4.2,2019-02-18 00:00:00,2019,1,2,18,0,10,0,43,February,-15.5,25.3,275.56000000000006,158.76,0.36,432.64000000000004
151,2019-02-01 18:17:10,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,579000000000.0,1.4,2019-02-01 00:00:00,2019,1,2,1,4,18,17,10,February,22.5,-83.8,5.76,184.95999999999998,75.68999999999998,265.69
152,2019-01-29 20:47:20,,,,,,,,25000000000.0,0.089,2019-01-29 00:00:00,2019,1,1,29,1,20,47,20,January,,,,,,
153,2019-01-22 09:18:01,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5.0,36000000000.0,0.12,2019-01-22 00:00:00,2019,1,1,22,1,9,18,1,January,18.0,6.5,73.96,34.81,25.0,134.56
154,2018-12-23 23:38:03,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,89000000000.0,0.27,2018-12-23 00:00:00,2018,4,12,23,6,23,38,3,December,-47.5,-174.4,98.01,57.76,116.64000000000001,272.25
155,2018-12-18 23:48:20,56.9N,172.4E,26.0,13.6,6.3,-3.0,-31.2,31300000000000.0,49.0,2018-12-18 00:00:00,2018,4,12,18,1,23,48,20,December,56.9,172.4,39.69,9.0,973.4399999999999,184.95999999999998
156,2018-11-20 17:30:28,25.3N,6.7W,27.4,17.4,-10.1,13.9,3.0,422000000000.0,1.1,2018-11-20 00:00:00,2018,4,11,20,1,17,30,28,November,25.3,-6.7,102.00999999999999,193.21,9.0,302.75999999999993
157,2018-11-17 21:48:24,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,220000000000.0,0.61,2018-11-17 00:00:00,2018,4,11,17,5,21,48,24,November,47.3,-172.9,57.76,299.29,7.290000000000001,364.81000000000006
158,2018-11-15 08:02:44,42N,57W,,,,,,20000000000.0,0.073,2018-11-15 00:00:00,2018,4,11,15,3,8,2,44,November,42.0,-57.0,,,,
159,2018-11-14 04:03:47,37.6S,83.5E,37.0,,,,,38000000000.0,0.13,2018-11-14 00:00:00,2018,4,11,14,2,4,3,47,November,-37.6,83.5,,,,
160,2018-10-24 21:19:07,6.7S,148.6W,33.3,,,,,47000000000.0,0.16,2018-10-24 00:00:00,2018,4,10,24,2,21,19,7,October,-6.7,-148.6,,,,
161,2018-10-22 07:11:03,,,,,,,,26000000000.0,0.092,2018-10-22 00:00:00,2018,4,10,22,0,7,11,3,October,,,,,,
162,2018-10-05 00:27:04,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,2018-10-05 00:00:00,2018,4,10,5,4,0,27,4,October,-39.8,-31.7,174.23999999999998,42.25,0.16000000000000003,216.08999999999997
163,2018-09-25 14:10:33,23.5S,56.8E,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,2018-09-25 00:00:00,2018,3,9,25,1,14,10,33,September,-23.5,56.8,262.44,7.839999999999999,0.36,272.25
164,2018-09-25 00:16:59,34.3S,44.9E,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,2018-09-25 00:00:00,2018,3,9,25,1,0,16,59,September,-34.3,44.9,121.0,6.25,30.25,156.25
165,2018-09-20 18:29:03,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000.0,0.26,2018-09-20 00:00:00,2018,3,9,20,3,18,29,3,September,-67.3,75.1,31.359999999999996,62.410000000000004,30.25,123.21
166,2018-09-17 01:08:02,6.8S,27.8W,,,,,,150000000000.0,0.43,2018-09-17 00:00:00,2018,3,9,17,0,1,8,2,September,-6.8,-27.8,,,,
167,2018-09-13 00:51:21,42.5N,50.1W,,,,,,42000000000.0,0.14,2018-09-13 00:00:00,2018,3,9,13,3,0,51,21,September,42.5,-50.1,,,,
168,2018-08-27 04:36:45,1.7S,141.4E,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,2018-08-27 00:00:00,2018,3,8,27,0,4,36,45,August,-1.7,141.4,96.04000000000002,92.16,70.56,259.21000000000004
169,2018-08-21 12:26:14,39.2S,162.9W,37.0,,,,,22000000000.0,0.079,2018-08-21 00:00:00,2018,3,8,21,1,12,26,14,August,-39.2,-162.9,,,,
170,2018-07-27 09:35:14,58.8S,105.8E,32.0,,,,,105000000000.0,0.32,2018-07-27 00:00:00,2018,3,7,27,4,9,35,14,July,-58.8,105.8,,,,
171,2018-07-25 21:55:26,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,2018-07-25 00:00:00,2018,3,7,25,2,21,55,26,July,76.9,-69.0,416.15999999999997,166.41,14.44,595.3599999999999
172,2018-07-17 15:17:37,82.5N,136.7W,,,,,,211000000000.0,0.59,2018-07-17 00:00:00,2018,3,7,17,1,15,17,37,July,82.5,-136.7,,,,
173,2018-06-26 17:51:53,32.0N,12.1E,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1,2018-06-26 00:00:00,2018,2,6,26,1,17,51,53,June,32.0,12.1,100.0,1.0,98.01,198.81
174,2018-06-21 01:16:20,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8,2018-06-21 00:00:00,2018,2,6,21,3,1,16,20,June,52.8,38.1,79.21000000000001,18.49,110.25,207.36
175,2018-06-02 16:44:12,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98,2018-06-02 00:00:00,2018,2,6,2,5,16,44,12,June,-21.2,23.3,0.81,268.96,15.209999999999999,285.60999999999996
176,2018-05-12 03:26:46,6.5S,173.7E,34.0,,,,,193000000000.0,0.54,2018-05-12 00:00:00,2018,2,5,12,5,3,26,46,May,-6.5,173.7,,,,
177,2018-05-08 02:27:13,32N,60.7W,,,,,,73000000000.0,0.23,2018-05-08 00:00:00,2018,2,5,8,1,2,27,13,May,32.0,-60.7,,,,
178,2018-05-03 07:23:59,46.9N,7.5W,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13,2018-05-03 00:00:00,2018,2,5,3,3,7,23,59,May,46.9,-7.5,1.6900000000000002,4.41,125.43999999999998,132.25
179,2018-04-30 13:17:57,45.5S,1.4W,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1,2018-04-30 00:00:00,2018,2,4,30,0,13,17,57,April,-45.5,-1.4,75.68999999999998,90.25,6.25,171.60999999999999
180,2018-04-21 12:06:04,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12,2018-04-21 00:00:00,2018,2,4,21,5,12,6,4,April,-59.0,45.8,50.41,21.159999999999997,141.61,213.16
181,2018-04-19 14:02:27,7.5N,3.6E,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23,2018-04-19 00:00:00,2018,2,4,19,3,14,2,27,April,7.5,3.6,82.80999999999999,6.25,345.96000000000004,436.80999999999995
182,2018-04-19 13:39:38,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3,2018-04-19 00:00:00,2018,2,4,19,3,13,39,38,April,-22.2,72.6,34.81,82.80999999999999,1.9599999999999997,118.81
183,2018-04-07 03:05:09,72.4N,78.7W,31.5,,,,,86000000000.0,0.27,2018-04-07 00:00:00,2018,2,4,7,5,3,5,9,April,72.4,-78.7,,,,
184,2018-02-21 01:28:03,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22,2018-02-21 00:00:00,2018,1,2,21,2,1,28,3,February,-13.5,-37.1,0.81,171.60999999999999,0.16000000000000003,171.60999999999999
185,2018-02-15 13:38:22,43.8S,1.1W,50.7,,,,,27000000000.0,0.095,2018-02-15 00:00:00,2018,1,2,15,3,13,38,22,February,-43.8,-1.1,,,,
186,2018-02-12 02:15:19,15.9S,58.9W,,,,,,39000000000.0,0.13,2018-02-12 00:00:00,2018,1,2,12,0,2,15,19,February,-15.9,-58.9,,,,
187,2018-02-08 22:21:41,42.9N,179.7E,43.5,,,,,259000000000.0,0.7,2018-02-08 00:00:00,2018,1,2,8,3,22,21,41,February,42.9,179.7,,,,
188,2018-02-01 12:21:36,19.4S,104.3E,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53,2018-02-01 00:00:00,2018,1,2,1,3,12,21,36,February,-19.4,104.3,65.61,70.56,136.89,272.25
189,2018-01-22 22:06:30,14.0N,17.4W,,,,,,32000000000.0,0.11,2018-01-22 00:00:00,2018,1,1,22,0,22,6,30,January,14.0,-17.4,,,,
190,2018-01-15 02:18:38,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56,2018-01-15 00:00:00,2018,1,1,15,0,2,18,38,January,-52.0,57.2,345.96000000000004,146.41,70.56,561.6899999999999
191,2018-01-06 21:24:22,55.8N,52.5E,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098,2018-01-06 00:00:00,2018,1,1,6,5,21,24,22,January,55.8,52.5,0.6400000000000001,4.840000000000001,436.80999999999995,441.0
192,2018-01-06 18:24:28,39.5S,12.8E,26.0,,,,,36000000000.0,0.12,2018-01-06 00:00:00,2018,1,1,6,5,18,24,28,January,-39.5,12.8,,,,
193,2017-12-31 09:36:10,63.5S,101.3W,64.5,,,,,44000000000.0,0.15,2017-12-31 00:00:00,2017,4,12,31,6,9,36,10,December,-63.5,-101.3,,,,
194,2017-12-29 12:47:31,14.6N,49.5W,38.0,,,,,110000000000.0,0.33,2017-12-29 00:00:00,2017,4,12,29,4,12,47,31,December,14.6,-49.5,,,,
195,2017-12-28 17:45:44,,,,,,,,114000000000.0,0.34,2017-12-28 00:00:00,2017,4,12,28,3,17,45,44,December,,,,,,
196,2017-12-15 13:14:37,60.2N,170.0E,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4,2017-12-15 00:00:00,2017,4,12,15,4,13,14,37,December,60.2,170.0,772.84,22.090000000000003,193.21,985.9599999999999
197,2017-11-19 04:17:32,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098,2017-11-19 00:00:00,2017,4,11,19,6,4,17,32,November,-24.2,135.0,44.89,11.559999999999999,73.96,129.96
198,2017-10-26 22:05:35,21.3S,177.6E,42.5,,,,,558000000000.0,1.4,2017-10-26 00:00:00,2017,4,10,26,3,22,5,35,October,-21.3,177.6,,,,
199,2017-10-23 15:31:23,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086,2017-10-23 00:00:00,2017,4,10,23,0,15,31,23,October,28.8,44.6,32.49,114.48999999999998,132.25,278.89
200,2017-10-15 04:33:16,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11,2017-10-15 00:00:00,2017,4,10,15,6,4,33,16,October,-65.2,128.2,90.25,68.89000000000001,94.08999999999999,252.81
201,2017-10-09 12:51:48,18.3S,64.1W,,,,,,30000000000.0,0.1,2017-10-09 00:00:00,2017,4,10,9,0,12,51,48,October,-18.3,-64.1,,,,
202,2017-10-04 12:07:05,28.1N,99.4E,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54,2017-10-04 00:00:00,2017,4,10,4,2,12,7,5,October,28.1,99.4,72.25,81.0,60.839999999999996,213.16
203,2017-09-05 05:11:27,49.3N,116.9W,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13,2017-09-05 00:00:00,2017,3,9,5,1,5,11,27,September,49.3,-116.9,161.29,37.209999999999994,17.64,216.08999999999997
204,2017-07-31 22:01:35,24.7N,118.5W,,,,,,58000000000.0,0.19,2017-07-31 00:00:00,2017,3,7,31,0,22,1,35,July,24.7,-118.5,,,,
205,2017-07-23 06:12:38,6.6S,69.7W,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12,2017-07-23 00:00:00,2017,3,7,23,6,6,12,38,July,-6.6,-69.7,0.16000000000000003,75.68999999999998,219.04000000000002,295.84
206,2017-07-13 09:30:36,23.1N,60.7E,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23,2017-07-13 00:00:00,2017,3,7,13,3,9,30,36,July,23.1,60.7,100.0,42.25,46.239999999999995,187.68999999999997
207,2017-06-30 14:26:45,34.3S,134.5E,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29,2017-06-30 00:00:00,2017,2,6,30,4,14,26,45,June,-34.3,134.5,118.81,94.08999999999999,17.64,231.04
208,2017-06-23 20:21:55,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52,2017-06-23 00:00:00,2017,2,6,23,4,20,21,55,June,57.0,143.7,313.28999999999996,171.60999999999999,106.09000000000002,590.49
209,2017-06-20 13:41:32,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6,2017-06-20 00:00:00,2017,2,6,20,1,13,41,32,June,-54.2,133.0,75.68999999999998,32.49,77.44000000000001,184.95999999999998
210,2017-05-24 07:03:03,9.1S,101.8E,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28,2017-05-24 00:00:00,2017,2,5,24,2,7,3,3,May,-9.1,101.8,42.25,272.25,25.0,338.55999999999995
211,2017-05-22 17:44:39,49.6S,157.6W,33.0,,,,,35000000000.0,0.12,2017-05-22 00:00:00,2017,2,5,22,0,17,44,39,May,-49.6,-157.6,,,,
212,2017-05-14 09:30:35,26.0S,32.4E,33.0,,,,,35000000000.0,0.12,2017-05-14 00:00:00,2017,2,5,14,6,9,30,35,May,-26.0,32.4,,,,
213,2017-04-30 21:28:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43,2017-04-30 00:00:00,2017,2,4,30,6,21,28,28,April,-25.7,56.2,179.56,201.64,79.21000000000001,462.25
214,2017-03-11 04:51:21,28.3N,60.2W,28.0,,,,,1263000000000.0,2.9,2017-03-11 00:00:00,2017,1,3,11,5,4,51,21,March,28.3,-60.2,,,,
215,2017-03-09 04:16:37,40.5N,18.0W,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0,2017-03-09 00:00:00,2017,1,3,9,3,4,16,37,March,40.5,-18.0,234.09000000000003,665.64,432.64000000000004,1332.25
216,2017-03-08 22:21:59,26.1S,174.9E,37.0,,,,,72000000000.0,0.23,2017-03-08 00:00:00,2017,1,3,8,2,22,21,59,March,-26.1,174.9,,,,
217,2017-02-25 01:22:59,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,2017-02-25 00:00:00,2017,1,2,25,5,1,22,59,February,29.5,13.5,57.76,86.49000000000001,4.840000000000001,148.83999999999997
218,2017-02-22 18:47:30,50.7S,66.0W,,,,,,38000000000.0,0.13,2017-02-22 00:00:00,2017,1,2,22,2,18,47,30,February,-50.7,-66.0,,,,
219,2017-02-18 19:48:29,6.2N,60.4E,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,2017-02-18 00:00:00,2017,1,2,18,5,19,48,29,February,6.2,60.4,43.559999999999995,515.29,28.09,585.64
220,2017-02-07 17:37:31,27.4S,14.8W,54.0,,,,,20000000000.0,0.073,2017-02-07 00:00:00,2017,1,2,7,1,17,37,31,February,-27.4,-14.8,,,,
221,2017-02-06 06:09:59,10.4N,131.6E,33.5,,,,,66000000000.0,0.21,2017-02-06 00:00:00,2017,1,2,6,0,6,9,59,February,10.4,131.6,,,,
222,2016-12-23 03:29:09,21.3N,49.3E,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,2016-12-23 00:00:00,2016,4,12,23,4,3,29,9,December,21.3,49.3,501.75999999999993,268.96,110.25,882.0899999999999
223,2016-12-07 04:51:39,34.5S,126.6W,,,,,,117000000000.0,0.35,2016-12-07 00:00:00,2016,4,12,7,2,4,51,39,December,-34.5,-126.6,,,,
224,2016-11-29 08:05:38,30.6S,93.1W,,,,,,31000000000.0,0.11,2016-11-29 00:00:00,2016,4,11,29,1,8,5,38,November,-30.6,-93.1,,,,
225,2016-11-24 14:10:34,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,2016-11-24 00:00:00,2016,4,11,24,3,14,10,34,November,-15.2,80.3,82.80999999999999,125.43999999999998,94.08999999999999,302.75999999999993
226,2016-11-03 17:14:29,39.6S,16.3W,37.0,,,,,76000000000.0,0.24,2016-11-03 00:00:00,2016,4,11,3,3,17,14,29,November,-39.6,-16.3,,,,
227,2016-10-01 20:23:45,36.2N,6.7E,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,2016-10-01 00:00:00,2016,4,10,1,5,20,23,45,October,36.2,6.7,100.0,15.209999999999999,86.49000000000001,201.64
228,2016-09-22 04:57:49,51.8S,178.5E,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,2016-09-22 00:00:00,2016,3,9,22,3,4,57,49,September,-51.8,178.5,6.25,10.889999999999999,289.0,306.25
229,2016-09-14 15:01:51,3.5S,44.6E,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,2016-09-14 00:00:00,2016,3,9,14,2,15,1,51,September,-3.5,44.6,12.25,262.44,59.290000000000006,334.89000000000004
230,2016-08-27 21:45:13,56.9S,162.2E,42.0,,,,,142000000000.0,0.41,2016-08-27 00:00:00,2016,3,8,27,5,21,45,13,August,-56.9,162.2,,,,
231,2016-08-11 05:59:58,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,2016-08-11 00:00:00,2016,3,8,11,3,5,59,58,August,-43.7,53.8,0.48999999999999994,129.96,92.16,222.01000000000002
232,2016-08-05 18:02:44,46.4N,171.6E,32.4,,,,,121000000000.0,0.36,2016-08-05 00:00:00,2016,3,8,5,4,18,2,44,August,46.4,171.6,,,,
233,2016-07-21 00:48:53,7.8N,1.6W,37.0,,,,,45000000000.0,0.15,2016-07-21 00:00:00,2016,3,7,21,3,0,48,53,July,7.8,-1.6,,,,
234,2016-07-05 01:24:26,1.0N,48.6E,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,2016-07-05 00:00:00,2016,3,7,5,1,1,24,26,July,1.0,48.6,106.09000000000002,4.0,519.84,630.0100000000001
235,2016-06-27 10:02:42,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,2016-06-27 00:00:00,2016,2,6,27,0,10,2,42,June,15.8,-11.9,846.8100000000001,2.25,0.48999999999999994,846.8100000000001
236,2016-06-05 06:12:55,17.4S,138.3E,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,2016-06-05 00:00:00,2016,2,6,5,6,6,12,55,June,-17.4,138.3,36.0,141.61,32.49,210.25
237,2016-06-02 10:56:32,33.8N,110.9W,,,,,,172000000000.0,0.49,2016-06-02 00:00:00,2016,2,6,2,3,10,56,32,June,33.8,-110.9,,,,
238,2016-05-29 12:14:55,10.2N,48.8W,32.0,,,,,69000000000.0,0.22,2016-05-29 00:00:00,2016,2,5,29,6,12,14,55,May,10.2,-48.8,,,,
239,2016-05-20 11:59:46,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,2016-05-20 00:00:00,2016,2,5,20,4,11,59,46,May,-32.8,15.1,29.160000000000004,98.01,306.25,432.64000000000004
240,2016-05-16 10:09:41,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,2016-05-16 00:00:00,2016,2,5,16,0,10,9,41,May,3.2,6.6,44.89,10.889999999999999,92.16,148.83999999999997
241,2016-05-13 00:34:01,26.2N,122.3W,33.0,,,,,101000000000.0,0.31,2016-05-13 00:00:00,2016,2,5,13,4,0,34,1,May,26.2,-122.3,,,,
242,2016-04-24 05:39:24,9.8N,42.8W,50.0,,,,,146000000000.0,0.42,2016-04-24 00:00:00,2016,2,4,24,6,5,39,24,April,9.8,-42.8,,,,
243,2016-04-18 11:59:10,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,2016-04-18 00:00:00,2016,2,4,18,0,11,59,10,April,20.7,-14.5,12.25,4.840000000000001,275.56000000000006,292.41
244,2016-04-12 09:51:40,38.3N,162.2E,,,,,,20000000000.0,0.073,2016-04-12 00:00:00,2016,2,4,12,1,9,51,40,April,38.3,162.2,,,,
245,2016-04-10 14:57:53,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,2016-04-10 00:00:00,2016,2,4,10,6,14,57,53,April,22.0,149.0,22.090000000000003,166.41,40.96000000000001,228.01
246,2016-03-16 23:54:20,49.2S,6.3W,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,2016-03-16 00:00:00,2016,1,3,16,2,23,54,20,March,-49.2,-6.3,57.76,82.80999999999999,36.0,176.89000000000001
247,2016-03-03 01:32:43,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,2016-03-03 00:00:00,2016,1,3,3,3,1,32,43,March,-48.0,51.0,23.04,50.41,62.410000000000004,136.89
248,2016-02-23 03:59:13,32.3N,67.2E,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,2016-02-23 00:00:00,2016,1,2,23,1,3,59,13,February,32.3,67.2,72.25,2.5600000000000005,246.48999999999998,320.40999999999997
249,2016-02-21 05:58:53,36.5N,37.2W,32.0,,,,,369000000000.0,0.96,2016-02-21 00:00:00,2016,1,2,21,6,5,58,53,February,36.5,-37.2,,,,
250,2016-02-19 08:15:02,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,2016-02-19 00:00:00,2016,1,2,19,4,8,15,2,February,0.7,-11.6,222.01000000000002,0.25,16.81,240.25
251,2016-02-13 00:10:13,3.1N,117.9E,,,,,,51000000000.0,0.17,2016-02-13 00:00:00,2016,1,2,13,5,0,10,13,February,3.1,117.9,,,,
252,2016-02-06 13:55:09,30.4S,25.5W,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,2016-02-06 00:00:00,2016,1,2,6,5,13,55,9,February,-30.4,-25.5,7.290000000000001,210.25,25.0,243.35999999999999
