,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,year,quarter,month,day,weekday,hour,minute,second,Month,Lat,Long,vx2,vy2,vz2,vel2
28,2022-03-11 21:22:46,70.0N,9.1W,33.3,17.2,-11.5,-5.3,-11.7,1851000000000.0,4.0,2022-03-11 00:00:00,2022,1,3,11,4,21,22,46,March,70.0,-9.1,132.25,28.09,136.89,295.84
29,2022-03-06 15:06:15,4.1S,99.5W,,,,,,20000000000.0,0.073,2022-03-06 00:00:00,2022,1,3,6,6,15,6,15,March,-4.1,-99.5,,,,
30,2022-03-03 00:03:03,50.4S,45.9E,72.0,,,,,21000000000.0,0.076,2022-03-03 00:00:00,2022,1,3,3,3,0,3,3,March,-50.4,45.9,,,,
31,2022-02-17 12:08:06,33.5N,38.9W,41.0,,,,,27000000000.0,0.095,2022-02-17 00:00:00,2022,1,2,17,3,12,8,6,February,33.5,-38.9,,,,
32,2022-02-17 03:53:24,5.4N,56.4E,32.4,21.5,-4.4,-19.6,-7.7,65000000000.0,0.21,2022-02-17 00:00:00,2022,1,2,17,3,3,53,24,February,5.4,56.4,19.360000000000003,384.1600000000001,59.290000000000006,462.25
33,2022-02-07 20:06:26,28.7S,11.4E,26.5,13.1,-8.9,-7.3,-6.3,3480000000000.0,7.0,2022-02-07 00:00:00,2022,1,2,7,0,20,6,26,February,-28.7,11.4,79.21000000000001,53.29,39.69,171.60999999999999
34,2022-02-03 19:50:40,13.3S,142.2E,36.0,22.8,17.6,9.7,-10.8,152000000000.0,0.44,2022-02-03 00:00:00,2022,1,2,3,3,19,50,40,February,-13.3,142.2,309.76000000000005,94.08999999999999,116.64000000000001,519.84
35,2022-01-30 02:06:18,50.0N,38.0W,36.6,20.0,-10.8,16.8,1.0,54000000000.0,0.18,2022-01-30 00:00:00,2022,1,1,30,6,2,6,18,January,50.0,-38.0,116.64000000000001,282.24,1.0,400.0
36,2022-01-28 05:04:45,4.5S,73.9W,37.0,,,,,341000000000.0,0.9,2022-01-28 00:00:00,2022,1,1,28,4,5,4,45,January,-4.5,-73.9,,,,
37,2022-01-11 03:33:13,58.4S,160.2W,40.8,22.8,-2.5,5.3,22.0,1264000000000.0,2.9,2022-01-11 00:00:00,2022,1,1,11,1,3,33,13,January,-58.4,-160.2,6.25,28.09,484.0,519.84
38,2022-01-01 20:23:04,66.1N,152.6W,35.5,,,,,145000000000.0,0.42,2022-01-01 00:00:00,2022,1,1,1,5,20,23,4,January,66.1,-152.6,,,,
39,2021-12-29 03:15:35,69.7S,115.0E,44.0,22.0,7.4,-8.6,18.8,20000000000.0,0.073,2021-12-29 00:00:00,2021,4,12,29,2,3,15,35,December,-69.7,115.0,54.760000000000005,73.96,353.44000000000005,484.0
40,2021-12-23 21:27:58,4.9S,29.6W,37.0,,,,,21000000000.0,0.076,2021-12-23 00:00:00,2021,4,12,23,3,21,27,58,December,-4.9,-29.6,,,,
41,2021-12-20 23:15:55,62.7N,60.3E,56.0,18.2,10.3,-7.1,-13.2,32000000000.0,0.11,2021-12-20 00:00:00,2021,4,12,20,0,23,15,55,December,62.7,60.3,106.09000000000002,50.41,174.23999999999998,331.23999999999995
42,2021-12-10 01:19:06,47.5S,172.6E,27.5,,,,,50000000000.0,0.16,2021-12-10 00:00:00,2021,4,12,10,4,1,19,6,December,-47.5,172.6,,,,
43,2021-11-28 18:06:50,32.6N,113.5E,38.4,19.7,0.2,-2.2,-19.6,40000000000.0,0.13,2021-11-28 00:00:00,2021,4,11,28,6,18,6,50,November,32.6,113.5,0.04000000000000001,4.840000000000001,384.1600000000001,388.09
44,2021-11-17 15:53:21,6.8S,119.1E,35.0,23.0,7.0,-18.3,-12.0,24000000000.0,0.086,2021-11-17 00:00:00,2021,4,11,17,2,15,53,21,November,-6.8,119.1,49.0,334.89000000000004,144.0,529.0
45,2021-11-08 05:28:28,33.8S,7.7W,36.0,,,,,33000000000.0,0.11,2021-11-08 00:00:00,2021,4,11,8,0,5,28,28,November,-33.8,-7.7,,,,
46,2021-10-28 09:10:30,4.1S,138.7W,35.2,,,,,30000000000.0,0.1,2021-10-28 00:00:00,2021,4,10,28,3,9,10,30,October,-4.1,-138.7,,,,
47,2021-10-21 10:32:02,51.5N,51.4E,30.0,15.9,-14.1,-7.0,-1.9,37000000000.0,0.13,2021-10-21 00:00:00,2021,4,10,21,3,10,32,2,October,51.5,51.4,198.81,49.0,3.61,252.81
48,2021-10-20 08:41:50,13.8N,140.4W,28.0,,,,,60000000000.0,0.19,2021-10-20 00:00:00,2021,4,10,20,2,8,41,50,October,13.8,-140.4,,,,
49,2021-10-20 00:43:57,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073,2021-10-20 00:00:00,2021,4,10,20,2,0,43,57,October,59.0,154.3,166.41,17.64,571.2099999999999,756.25
50,2021-09-29 10:50:59,53.9N,148.0W,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4,2021-09-29 00:00:00,2021,3,9,29,2,10,50,59,September,53.9,-148.0,12.25,81.0,357.2099999999999,449.44
51,2021-09-06 17:55:42,2.1S,111.8W,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11,2021-09-06 00:00:00,2021,3,9,6,0,17,55,42,September,-2.1,-111.8,19.360000000000003,47.61000000000001,118.81,184.95999999999998
52,2021-07-30 08:06:34,7.8S,90.1E,63.0,,,,,146000000000.0,0.42,2021-07-30 00:00:00,2021,3,7,30,4,8,6,34,July,-7.8,90.1,,,,
53,2021-07-29 13:19:57,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13,2021-07-29 00:00:00,2021,3,7,29,3,13,19,57,July,42.4,98.4,2.5600000000000005,141.61,70.56,216.08999999999997
54,2021-07-07 13:41:14,,,,,,,,33000000000.0,0.11,2021-07-07 00:00:00,2021,3,7,7,2,13,41,14,July,,,,,,
55,2021-07-05 03:46:24,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8,2021-07-05 00:00:00,2021,3,7,5,0,3,46,24,July,44.3,-164.2,0.48999999999999994,246.48999999999998,0.25,246.48999999999998
56,2021-06-09 05:43:59,17.9S,55.3W,,,,,,23000000000.0,0.082,2021-06-09 00:00:00,2021,2,6,9,2,5,43,59,June,-17.9,-55.3,,,,
57,2021-05-16 15:51:08,52.1S,171.2W,37.0,,,,,38000000000.0,0.13,2021-05-16 00:00:00,2021,2,5,16,6,15,51,8,May,-52.1,-171.2,,,,
58,2021-05-06 05:54:27,34.7S,141.0E,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076,2021-05-06 00:00:00,2021,2,5,6,3,5,54,27,May,-34.7,141.0,92.16,595.3599999999999,21.159999999999997,707.5600000000001
59,2021-05-02 14:12:49,12.3N,43.4W,,,,,,25000000000.0,0.089,2021-05-02 00:00:00,2021,2,5,2,6,14,12,49,May,12.3,-43.4,,,,
60,2021-04-13 02:16:47,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076,2021-04-13 00:00:00,2021,2,4,13,1,2,16,47,April,26.8,-79.1,7.839999999999999,158.76,31.359999999999996,198.81
61,2021-04-02 15:52:58,71.2N,106.7E,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4,2021-04-02 00:00:00,2021,2,4,2,4,15,52,58,April,71.2,106.7,79.21000000000001,39.69,81.0,198.81
62,2021-03-06 08:43:06,48.6S,90.4E,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41,2021-03-06 00:00:00,2021,1,3,6,5,8,43,6,March,-48.6,90.4,161.29,22.090000000000003,144.0,327.61000000000007
63,2021-03-05 13:50:01,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13,2021-03-05 00:00:00,2021,1,3,5,4,13,50,1,March,-81.1,141.1,102.00999999999999,70.56,368.64,542.89
64,2021-02-28 03:47:37,9.2N,64.1W,,,,,,28000000000.0,0.098,2021-02-28 00:00:00,2021,1,2,28,6,3,47,37,February,9.2,-64.1,,,,
65,2021-02-09 23:27:29,75.8N,92.8W,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1,2021-02-09 00:00:00,2021,1,2,9,1,23,27,29,February,75.8,-92.8,27.040000000000003,39.69,106.09000000000002,171.60999999999999
66,2021-02-02 10:03:21,48.7N,80.1E,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11,2021-02-02 00:00:00,2021,1,2,2,1,10,3,21,February,48.7,80.1,16.0,44.89,102.00999999999999,163.84000000000003
67,2021-01-31 02:59:39,5.3N,115.2E,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72,2021-01-31 00:00:00,2021,1,1,31,6,2,59,39,January,5.3,115.2,196.0,33.64,2.8899999999999997,231.04
68,2021-01-29 16:12:47,38.8N,51.3W,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24,2021-01-29 00:00:00,2021,1,1,29,4,16,12,47,January,38.8,-51.3,201.64,3.61,0.36,204.49
69,2021-01-25 03:01:37,38.5N,47.6W,19.1,,,,,75000000000.0,0.23,2021-01-25 00:00:00,2021,1,1,25,0,3,1,37,January,38.5,-47.6,,,,
70,2021-01-24 07:33:43,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2,2021-01-24 00:00:00,2021,1,1,24,6,7,33,43,January,-45.0,95.5,176.89000000000001,13.690000000000001,176.89000000000001,368.64
71,2020-12-29 20:32:22,14.9N,158.2W,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16,2020-12-29 00:00:00,2020,4,12,29,1,20,32,22,December,14.9,-158.2,9.0,104.03999999999999,94.08999999999999,207.36
72,2020-12-28 17:27:53,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18,2020-12-28 00:00:00,2020,4,12,28,0,17,27,53,December,36.8,-54.7,2.25,12.25,216.08999999999997,231.04
73,2020-12-22 23:23:33,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4898000000000.0,9.5,2020-12-22 00:00:00,2020,4,12,22,1,23,23,33,December,31.9,96.2,6.760000000000001,34.81,146.41,184.95999999999998
74,2020-11-28 16:34:11,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092,2020-11-28 00:00:00,2020,4,11,28,5,16,34,11,November,33.3,135.1,3.24,272.25,108.16000000000001,384.1600000000001
75,2020-11-25 12:20:50,30.5S,81.0W,,,,,,21000000000.0,0.076,2020-11-25 00:00:00,2020,4,11,25,2,12,20,50,November,-30.5,-81.0,,,,
76,2020-11-07 21:27:04,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33,2020-11-07 00:00:00,2020,4,11,7,5,21,27,4,November,59.8,16.8,116.64000000000001,1.44,161.29,278.89
77,2020-10-26 15:09:10,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34,2020-10-26 00:00:00,2020,4,10,26,0,15,9,10,October,-5.9,160.4,118.81,190.44000000000003,0.010000000000000002,309.76000000000005
78,2020-10-23 20:51:39,30.0N,71.9W,48.0,,,,,80000000000.0,0.25,2020-10-23 00:00:00,2020,4,10,23,4,20,51,39,October,30.0,-71.9,,,,
79,2020-10-22 17:39:33,22.0N,133.5W,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15,2020-10-22 00:00:00,2020,4,10,22,3,17,39,33,October,22.0,-133.5,88.36000000000001,198.81,24.010000000000005,309.76000000000005
80,2020-10-21 18:57:33,12.9N,150.2W,,,,,,22000000000.0,0.079,2020-10-21 00:00:00,2020,4,10,21,2,18,57,33,October,12.9,-150.2,,,,
81,2020-10-21 06:38:49,29.7S,93.9W,39.0,,,,,27000000000.0,0.095,2020-10-21 00:00:00,2020,4,10,21,2,6,38,49,October,-29.7,-93.9,,,,
82,2020-10-19 07:05:47,48.6N,93.9E,40.7,,,,,21000000000.0,0.076,2020-10-19 00:00:00,2020,4,10,19,0,7,5,47,October,48.6,93.9,,,,
83,2020-10-18 10:52:43,11.4S,135.8W,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12,2020-10-18 00:00:00,2020,4,10,18,6,10,52,43,October,-11.4,-135.8,243.35999999999999,2.25,24.010000000000005,268.96
84,2020-09-18 08:05:27,2.4N,169.7W,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14,2020-09-18 00:00:00,2020,3,9,18,4,8,5,27,September,2.4,-169.7,104.03999999999999,8.41,24.010000000000005,136.89
85,2020-08-30 16:08:22,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2,2020-08-30 00:00:00,2020,3,8,30,6,16,8,22,August,26.0,133.5,60.839999999999996,470.89,13.690000000000001,547.56
86,2020-08-02 16:36:25,35.1S,34.2W,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23,2020-08-02 00:00:00,2020,3,8,2,6,16,36,25,August,-35.1,-34.2,0.25,36.0,86.49000000000001,123.21
87,2020-07-22 02:55:40,20.0S,103.8W,36.0,,,,,22000000000.0,0.079,2020-07-22 00:00:00,2020,3,7,22,2,2,55,40,July,-20.0,-103.8,,,,
88,2020-07-20 21:25:09,51.8S,11.2W,31.6,14.1,-2.9,-1.0,-13.8,50000000000.0,0.16,2020-07-20 00:00:00,2020,3,7,20,0,21,25,9,July,-51.8,-11.2,8.41,1.0,190.44000000000003,198.81
89,2020-07-12 07:50:32,48.7S,74.0E,29.4,18.3,-5.0,-13.0,-11.9,75000000000.0,0.23,2020-07-12 00:00:00,2020,3,7,12,6,7,50,32,July,-48.7,74.0,25.0,169.0,141.61,334.89000000000004
90,2020-05-27 17:30:18,40.8N,41.7E,29.3,14.9,-6.0,-7.3,-11.5,57000000000.0,0.18,2020-05-27 00:00:00,2020,2,5,27,2,17,30,18,May,40.8,41.7,36.0,53.29,132.25,222.01000000000002
91,2020-05-18 01:11:09,38.7S,77.2E,25.0,,,,,162000000000.0,0.46,2020-05-18 00:00:00,2020,2,5,18,0,1,11,9,May,-38.7,77.2,,,,
92,2020-05-12 23:22:56,15.9N,174.2E,,,,,,83000000000.0,0.26,2020-05-12 00:00:00,2020,2,5,12,1,23,22,56,May,15.9,174.2,,,,
93,2020-05-09 09:37:15,7.2N,44.2W,52.5,,,,,41000000000.0,0.14,2020-05-09 00:00:00,2020,2,5,9,5,9,37,15,May,7.2,-44.2,,,,
94,2020-05-09 02:56:11,44.8N,131.0W,31.2,14.5,-13.0,-4.0,-5.0,41000000000.0,0.14,2020-05-09 00:00:00,2020,2,5,9,5,2,56,11,May,44.8,-131.0,169.0,16.0,25.0,210.25
95,2020-04-28 05:43:17,20.1N,109.4W,,,,,,21000000000.0,0.076,2020-04-28 00:00:00,2020,2,4,28,1,5,43,17,April,20.1,-109.4,,,,
96,2020-04-18 13:08:38,12.5N,49.8W,,,,,,27000000000.0,0.095,2020-04-18 00:00:00,2020,2,4,18,5,13,8,38,April,12.5,-49.8,,,,
97,2020-04-14 11:11:16,65.6S,45.6W,,,,,,20000000000.0,0.073,2020-04-14 00:00:00,2020,2,4,14,1,11,11,16,April,-65.6,-45.6,,,,
98,2020-03-26 23:27:56,38.3S,23.5E,26.5,20.7,-10.0,3.2,17.8,124000000000.0,0.37,2020-03-26 00:00:00,2020,1,3,26,3,23,27,56,March,-38.3,23.5,100.0,10.240000000000002,316.84000000000003,428.48999999999995
99,2020-03-23 16:51:51,24.4S,67.9W,25.0,,,,,133000000000.0,0.39,2020-03-23 00:00:00,2020,1,3,23,0,16,51,51,March,-24.4,-67.9,,,,
100,2020-03-22 06:44:29,,,,,,,,25000000000.0,0.089,2020-03-22 00:00:00,2020,1,3,22,6,6,44,29,March,,,,,,
101,2020-03-04 20:25:59,53.3S,90.8E,24.3,19.8,-5.2,2.2,19.0,394000000000.0,1.0,2020-03-04 00:00:00,2020,1,3,4,2,20,25,59,March,-53.3,90.8,27.040000000000003,4.840000000000001,361.0,392.04
102,2020-02-28 09:30:34,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,115000000000.0,0.34,2020-02-28 00:00:00,2020,1,2,28,4,9,30,34,February,45.7,15.1,331.23999999999995,127.69000000000001,4.41,462.25
103,2020-02-24 22:21:28,3.6N,96.0W,,,,,,20000000000.0,0.073,2020-02-24 00:00:00,2020,1,2,24,0,22,21,28,February,3.6,-96.0,,,,
104,2020-02-10 23:48:17,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,27000000000.0,0.095,2020-02-10 00:00:00,2020,1,2,10,0,23,48,17,February,28.2,76.7,772.84,204.49,27.040000000000003,1004.89
105,2020-01-27 05:39:15,30.4N,1.5E,32.5,19.8,-2.0,-16.6,-10.6,44000000000.0,0.15,2020-01-27 00:00:00,2020,1,1,27,0,5,39,15,January,30.4,1.5,4.0,275.56000000000006,112.36,392.04
106,2020-01-24 11:13:31,28.0N,35.8W,32.0,21.2,-18.6,-9.0,-4.7,26000000000.0,0.092,2020-01-24 00:00:00,2020,1,1,24,4,11,13,31,January,28.0,-35.8,345.96000000000004,81.0,22.090000000000003,449.44
107,2020-01-21 20:07:44,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,28000000000.0,0.098,2020-01-21 00:00:00,2020,1,1,21,1,20,7,44,January,33.1,34.3,56.25,552.25,141.61,750.7599999999999
108,2020-01-17 21:29:49,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,97000000000.0,0.29,2020-01-17 00:00:00,2020,1,1,17,4,21,29,49,January,19.4,-66.0,174.23999999999998,65.61,1.44,240.25
109,2020-01-16 09:31:42,71.7S,116.4W,27.8,12.9,9.8,-4.5,7.0,59000000000.0,0.19,2020-01-16 00:00:00,2020,1,1,16,3,9,31,42,January,-71.7,-116.4,96.04000000000002,20.25,49.0,166.41
110,2020-01-15 06:31:39,23.7S,125.2W,31.5,,,,,196000000000.0,0.55,2020-01-15 00:00:00,2020,1,1,15,2,6,31,39,January,-23.7,-125.2,,,,
111,2020-01-06 11:03:50,70.4S,17.5W,,,,,,45000000000.0,0.15,2020-01-06 00:00:00,2020,1,1,6,0,11,3,50,January,-70.4,-17.5,,,,
112,2019-12-21 14:30:52,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,65000000000.0,0.21,2019-12-21 00:00:00,2019,4,12,21,5,14,30,52,December,56.5,-147.6,222.01000000000002,65.61,204.49,492.84
113,2019-12-11 01:19:11,47.7N,161.7E,37.0,17.8,13.7,-10.9,-3.3,39000000000.0,0.13,2019-12-11 00:00:00,2019,4,12,11,2,1,19,11,December,47.7,161.7,187.68999999999997,118.81,10.889999999999999,316.84000000000003
114,2019-12-06 10:19:57,3.3S,37.7W,19.5,,,,,46000000000.0,0.15,2019-12-06 00:00:00,2019,4,12,6,4,10,19,57,December,-3.3,-37.7,,,,
